,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Tyler Boyd,CIN,7,3,42.86%,21,2,9.5%,4,3,75.00%,21,2,10.8%,All Tyler Boyd red zone receiving plays,BoydTy00
Noah Brown,HOU,7,2,28.57%,12,1,10.3%,5,1,20.00%,3,1,13.9%,All Noah Brown red zone receiving plays,BrowNo00
Zach Ertz,ARI,7,3,42.86%,17,1,12.1%,2,2,100.00%,9,1,7.7%,All Zach Ertz red zone receiving plays,ErtzZa00
Jahmyr Gibbs,DET,7,4,57.14%,26,1,10.8%,5,2,40.00%,14,1,14.3%,All Jahmyr Gibbs red zone receiving plays,GibbJa01
Juwan Johnson,NOR,7,6,85.71%,35,3,10.8%,3,3,100.00%,12,3,9.1%,All Juwan Johnson red zone receiving plays,JohnJu02
Tucker Kraft,GNB,7,4,57.14%,21,2,7.8%,3,3,100.00%,22,2,8.1%,All Tucker Kraft red zone receiving plays,KrafTu00
Isaiah Likely,BAL,7,6,85.71%,48,2,10.9%,3,3,100.00%,16,1,9.7%,All Isaiah Likely red zone receiving plays,LikeIs00
Michael Mayer,LVR,7,5,71.43%,46,2,9.9%,2,2,100.00%,14,1,5.7%,All Michael Mayer red zone receiving plays,MayeMi00
Darnell Mooney,CHI,7,1,14.29%,-1,0,12.5%,5,1,20.00%,-1,0,19.2%,All Darnell Mooney red zone receiving plays,MoonDa00
Skyy Moore,KAN,7,3,42.86%,20,1,8.0%,2,1,50.00%,9,1,4.2%,All Skyy Moore red zone receiving plays,MoorSk01
Rashid Shaheed,NOR,7,3,42.86%,34,1,10.8%,2,0,0.00%,0,0,6.1%,All Rashid Shaheed red zone receiving plays,ShahRa00
Sterling Shepard,NYG,7,2,28.57%,6,1,21.2%,3,1,33.33%,2,1,25.0%,All Sterling Shepard red zone receiving plays,ShepSt00
Cedric Tillman,CLE,7,2,28.57%,21,0,10.9%,2,0,0.00%,0,0,6.9%,All Cedric Tillman red zone receiving plays,TillCe01
Michael Wilson,ARI,7,4,57.14%,43,3,12.1%,4,2,50.00%,13,2,15.4%,All Michael Wilson red zone receiving plays,WilsMi02
De'Von Achane,MIA,6,5,83.33%,33,3,9.0%,5,4,80.00%,22,3,11.4%,All De'Von Achane red zone receiving plays,AchaDe00
Kendrick Bourne,NWE,6,6,100.00%,45,3,16.7%,3,3,100.00%,8,1,23.1%,All Kendrick Bourne red zone receiving plays,BourKe00
DJ Chark,CAR,6,4,66.67%,44,4,16.7%,3,2,66.67%,15,2,13.6%,All DJ Chark red zone receiving plays,CharDJ00
James Cook,BUF,6,4,66.67%,32,3,9.7%,3,2,66.67%,13,2,11.1%,All James Cook red zone receiving plays,CookJa01
Jerome Ford,CLE,6,5,83.33%,32,3,9.4%,2,2,100.00%,10,2,6.9%,All Jerome Ford red zone receiving plays,FordJe00
Pat Freiermuth,PIT,6,3,50.00%,24,2,14.3%,2,1,50.00%,3,1,11.1%,All Pat Freiermuth red zone receiving plays,FreiPa00
Mike Gesicki,NWE,6,3,50.00%,20,2,16.7%,2,1,50.00%,1,1,15.4%,All Mike Gesicki red zone receiving plays,GesiMi00
Hunter Henry,NWE,6,5,83.33%,53,5,16.7%,4,3,75.00%,23,3,30.8%,All Hunter Henry red zone receiving plays,HenrHu00
Trenton Irwin,CIN,6,4,66.67%,19,0,8.1%,4,2,50.00%,0,0,10.8%,All Trenton Irwin red zone receiving plays,IrwiTr00
Josh Jacobs,LVR,6,4,66.67%,18,0,8.5%,3,1,33.33%,0,0,8.6%,All Josh Jacobs red zone receiving plays,JacoJo01
Brandon Johnson,DEN,6,4,66.67%,34,2,9.2%,3,1,33.33%,4,1,8.6%,All Brandon Johnson red zone receiving plays,JohnBr23
Raheem Mostert,MIA,6,6,100.00%,36,3,9.0%,3,3,100.00%,12,2,6.8%,All Raheem Mostert red zone receiving plays,MostRa00
Chigoziem Okonkwo,TEN,6,3,50.00%,19,1,12.8%,3,0,0.00%,0,0,13.0%,All Chigoziem Okonkwo red zone receiving plays,OkonCh00
Alec Pierce,IND,6,0,0.00%,0,0,10.2%,2,0,0.00%,0,0,8.0%,All Alec Pierce red zone receiving plays,PierAl00
Brandon Powell,MIN,6,4,66.67%,23,1,7.6%,4,2,50.00%,7,1,8.5%,All Brandon Powell red zone receiving plays,PoweBr00
DeVonta Smith,PHI,6,4,66.67%,27,3,12.2%,4,2,50.00%,7,2,23.5%,All DeVonta Smith red zone receiving plays,SmitDe07
Tyjae Spears,TEN,6,3,50.00%,12,0,12.8%,2,1,50.00%,5,0,8.7%,All Tyjae Spears red zone receiving plays,SpeaTy00
KaVontae Turpin,DAL,6,5,83.33%,31,1,5.8%,3,3,100.00%,14,1,5.9%,All KaVontae Turpin red zone receiving plays,TurpKa00
Justin Watson,KAN,6,3,50.00%,13,3,6.8%,4,3,75.00%,13,3,8.3%,All Justin Watson red zone receiving plays,WatsJu01
Nick Westbrook-Ikhine,TEN,6,3,50.00%,20,2,12.8%,2,1,50.00%,4,1,8.7%,All Nick Westbrook-Ikhine red zone receiving plays,WestNi00
Salvon Ahmed,MIA,5,5,100.00%,33,1,7.5%,1,1,100.00%,0,0,2.3%,All Salvon Ahmed red zone receiving plays,AhmeSa01
Tutu Atwell,LAR,5,3,60.00%,7,2,6.8%,4,2,50.00%,4,2,9.8%,All Tutu Atwell red zone receiving plays,AtweTu00
Saquon Barkley,NYG,5,4,80.00%,11,2,15.2%,3,2,66.67%,14,2,25.0%,All Saquon Barkley red zone receiving plays,BarkSa00
Harrison Bryant,CLE,5,4,80.00%,18,3,7.8%,3,3,100.00%,13,3,10.3%,All Harrison Bryant red zone receiving plays,BryaHa00
James Conner,ARI,5,4,80.00%,29,2,8.6%,1,1,100.00%,5,1,3.8%,All James Conner red zone receiving plays,ConnJa00
Clyde Edwards-Helaire,KAN,5,3,60.00%,9,1,5.7%,5,3,60.00%,9,1,10.4%,All Clyde Edwards-Helaire red zone receiving plays,EdwaCl00
Antonio Gibson,WAS,5,4,80.00%,26,2,7.8%,1,1,100.00%,1,1,2.9%,All Antonio Gibson red zone receiving plays,GibsAn00
Xavier Gipson,NYJ,5,3,60.00%,13,0,10.2%,3,2,66.67%,9,0,9.7%,All Xavier Gipson red zone receiving plays,GipsXa00
